account_id,region_id,value_score,value_group,churn_mode,proba_none,proba_large_withdrawal,proba_dd_stop,proba_dormant,predicted_mode
A001346,R09,18674.12,high,none,0.96164036,0.015876701,0.004966906,0.017516054,none
A003324,R00,1420.9,low,none,0.9123426,0.050755605,0.008675697,0.028226132,none
A002895,R00,1641.49,low,none,0.8643959,0.03289723,0.07208995,0.030616852,none
A011828,R02,2583.31,low,dormant,0.8669571,0.001036125,0.025638986,0.10636773,none
A024094,R03,13327.09,high,none,0.93013865,0.036401972,0.011691836,0.021767586,none
A013059,R03,26587.46,high,none,0.95256853,0.009992205,0.013297741,0.024141503,none
A011781,R07,1500.48,low,none,0.8824759,0.0094866,0.07755119,0.030486252,none
A029697,R00,8211.72,high,none,0.79526025,0.066776544,0.048320044,0.08964319,none
A022284,R02,705.47,low,none,0.8151506,0.023533452,0.0669764,0.09433952,none
A038974,R04,3882.27,low,dormant,0.70279205,0.005214117,0.026630323,0.26536357,none
A023254,R00,31983.19,high,dormant,0.8919815,0.014037423,0.023429548,0.07055157,none
A026048,R09,11859.8,high,none,0.8482708,0.019527879,0.1012265,0.030974912,none
A005169,R09,7582.62,high,large_withdrawal,0.9666903,0.0117622465,0.0035290576,0.01801839,none
A032957,R04,16495.22,high,none,0.9290608,0.027605312,0.008112471,0.035221394,none
A009440,R06,10202.16,high,none,0.74454,0.01333164,0.0038981906,0.23823021,none
A032007,R05,7497.62,high,none,0.8832904,0.037622325,0.0065025883,0.07258469,none
A018237,R08,25448.19,high,none,0.891492,0.01585455,0.0034857963,0.08916765,none
A005582,R07,464.1,low,none,0.88561815,0.02839217,0.05523108,0.030758569,none
A013130,R00,5874.45,high,none,0.86648095,0.08722752,0.030454945,0.015836572,none
A030841,R09,3704.7,low,dormant,0.9622523,0.005868224,0.0099013485,0.021978091,none
A028501,R02,1634.75,low,none,0.90359116,0.038358178,0.033615116,0.024435561,none
A033430,R09,6583.95,high,none,0.82096386,0.11269872,0.04454745,0.021789972,none
A007031,R01,8040.65,high,none,0.844639,0.0117237205,0.042507697,0.10112963,none
A035966,R05,1712.38,low,none,0.9084306,0.016072553,0.039892163,0.03560474,none
A017202,R01,826.01,low,none,0.8590083,0.0902879,0.025451064,0.025252761,none
A009915,R03,573.72,low,none,0.9517343,0.014542777,0.0051690345,0.028553864,none
A024904,R06,2074.18,low,none,0.957636,0.00087413087,0.015454791,0.026035067,none
A038139,R08,9228.59,high,none,0.7743971,0.053283077,0.06974139,0.10257849,none
A024359,R07,86979.92,high,none,0.95586073,0.020962687,0.0040230397,0.019153507,none
A025575,R01,1126.99,low,none,0.9312282,0.012052959,0.026490148,0.030228732,none
A007923,R09,5423.13,high,dormant,0.6872836,0.019328956,0.020617837,0.27276963,none
A005946,R01,3574.75,low,none,0.9595216,0.01719185,0.004363028,0.018923538,none
A021130,R04,3091.47,low,none,0.8894245,0.06274726,0.022292616,0.025535623,none
A029773,R00,7716.85,high,none,0.93664706,0.007930426,0.03014685,0.025275702,none
A001619,R07,3646.46,low,none,0.7053339,0.0010657635,0.04238109,0.25121924,none
A018865,R05,2821.48,low,none,0.8878026,0.02684612,0.008046262,0.07730501,none
A033616,R08,2025.36,low,none,0.79439133,0.03676454,0.047895912,0.12094824,none
A002542,R03,29903.55,high,dormant,0.8308904,0.0071617565,0.037096743,0.12485106,none
A003628,R06,8190.73,high,none,0.8851202,0.027032627,0.012440755,0.07540642,none
A000204,R09,1610.29,low,none,0.8942396,0.005694216,0.019308943,0.08075724,none
A026965,R06,14534.25,high,none,0.9551033,0.019183915,0.00466002,0.02105284,none
A031776,R02,1345.6,low,none,0.94640696,0.011276608,0.023334488,0.018981913,none
A004331,R03,651.09,low,none,0.94783884,0.009390972,0.015479685,0.027290534,none
A014388,R09,7078.24,high,dormant,0.84939206,0.04806569,0.028318739,0.07422353,none
A011305,R06,11988.17,high,none,0.9578207,0.024191197,0.0035289824,0.014459157,none
A019634,R08,10365.83,high,none,0.9662623,0.012718999,0.002962824,0.018055884,none
A013203,R09,4542.61,low,none,0.95309734,0.019332785,0.005204422,0.022365449,none
A039843,R06,8938.93,high,none,0.94286865,0.023992447,0.013337936,0.019801011,none
A001794,R05,11977.88,high,none,0.95652497,0.017075976,0.0047585093,0.021640606,none
A025786,R02,20976.53,high,none,0.8768119,0.013721016,0.030470693,0.07899639,none
A004738,R00,16321.64,high,none,0.94532585,0.022091843,0.0118802795,0.020701986,none
A027016,R09,2749.03,low,none,0.8466765,0.043708608,0.009198697,0.100416124,none
A009819,R01,3966.12,low,none,0.90087503,0.0009821355,0.07098548,0.027157346,none
A038491,R05,3785.43,low,none,0.89794505,0.027884794,0.05343747,0.020732677,none
A010422,R07,3543.83,low,none,0.947795,0.025810437,0.008173176,0.018221417,none
A009227,R00,298.72,low,none,0.9093488,0.040166702,0.02982711,0.02065737,none
A011335,R09,1116.42,low,none,0.8546556,0.028778996,0.014631909,0.10193344,none
A008145,R05,23688.86,high,none,0.89181167,0.01570293,0.030718451,0.06176692,none
A039485,R09,6395.95,high,none,0.9053237,0.05905373,0.02377001,0.011852548,none
A033435,R08,7260.44,high,none,0.8331529,0.023015322,0.09873022,0.0451016,none
A004133,R05,3264.44,low,none,0.9600971,0.0053242566,0.018133141,0.01644558,none
A023803,R07,14695.1,high,none,0.8725128,0.05401667,0.004720776,0.0687497,none
A010305,R09,12760.73,high,none,0.9318521,0.028760098,0.009325899,0.030061934,none
A007107,R08,2446.15,low,none,0.9128874,0.034386717,0.025947906,0.02677799,none
A023494,R06,15014.87,high,none,0.8835676,0.009692298,0.025237003,0.08150319,none
A033414,R02,5769.45,high,none,0.8970321,0.024775757,0.052127928,0.026064225,none
A031498,R01,3754.41,low,none,0.93492573,0.02386969,0.013207777,0.027996788,none
A033728,R01,11766.54,high,dd_stop,0.7779717,0.036893982,0.09663454,0.08849982,none
A023123,R09,77199.31,high,large_withdrawal,0.88891536,0.012794693,0.0766376,0.021652339,none
A023665,R04,21903.19,high,dd_stop,0.90501964,0.0038340334,0.05310664,0.038039718,none
A034446,R08,7398.96,high,none,0.7167319,0.1346982,0.05348101,0.09508888,none
A018903,R01,7041.65,high,large_withdrawal,0.8656592,0.03240076,0.023269843,0.07867019,none
A038561,R08,5818.64,high,none,0.94787765,0.025684673,0.0037134076,0.022724262,none
A029661,R03,12836.51,high,none,0.8590977,0.013490547,0.024709977,0.1027018,none
A024645,R04,2129.29,low,none,0.8258147,0.012529933,0.06141029,0.10024508,none
A000625,R09,4593.14,low,none,0.84997094,0.07850506,0.05539805,0.016125906,none
A029904,R00,3363.74,low,none,0.8509379,0.08016809,0.039220247,0.02967376,none
A005003,R00,20056.78,high,none,0.9420565,0.008426294,0.025164636,0.024352534,none
A020781,R05,989.03,low,none,0.9620781,0.0008216812,0.008440747,0.028659467,none
A032466,R01,17256.58,high,none,0.9304077,0.025346868,0.02064551,0.02359988,none
A028791,R02,1760.0,low,none,0.7174551,0.0073388643,0.006115945,0.26909012,none
A021718,R00,2363.18,low,none,0.8404024,0.07563992,0.04093657,0.0430211,none
A012943,R02,4489.77,low,none,0.8574967,0.021071484,0.032092094,0.08933972,none
A010101,R07,3714.43,low,none,0.8490387,0.07239,0.05073238,0.02783888,none
A023525,R01,4932.14,low,dormant,0.8442867,0.005485909,0.014871303,0.13535613,none
A038754,R04,8988.74,high,none,0.9148878,0.051857952,0.013958443,0.019295765,none
A012000,R01,1492.48,low,none,0.9452962,0.043849345,0.002534809,0.00831961,none
A006277,R04,7258.47,high,none,0.9446725,0.013660355,0.017803153,0.023863938,none
A020235,R08,14909.96,high,none,0.9605058,0.018127263,0.003666096,0.017700866,none
A002308,R08,1870.91,low,none,0.84146786,0.09042327,0.04316915,0.024939792,none
A029643,R09,3952.96,low,large_withdrawal,0.8761832,0.020069335,0.0068725008,0.09687498,none
A005546,R07,1626.79,low,none,0.95186585,0.017372474,0.015260217,0.015501446,none
A014216,R00,6068.31,high,none,0.8821106,0.009413545,0.0085176835,0.099958226,none
A029410,R03,5087.19,high,none,0.81576806,0.035394598,0.041108757,0.10772863,none
A038395,R01,1069.96,low,none,0.9583445,0.015592062,0.0048894305,0.021174032,none
A036878,R07,8683.97,high,large_withdrawal,0.72401404,0.024183601,0.028166194,0.22363614,none
A005668,R05,1757.93,low,large_withdrawal,0.89058876,0.009521726,0.007728553,0.09216095,none
A025024,R04,2155.89,low,none,0.8903495,0.00899399,0.02704768,0.07360878,none
A014503,R08,53647.39,high,none,0.90009016,0.056017455,0.02917856,0.014713844,none
A034467,R07,10284.69,high,none,0.74960226,0.020813728,0.023849867,0.20573412,none
A016761,R02,4259.19,low,none,0.9049759,0.0044297324,0.070073515,0.020520879,none
A010389,R06,9259.52,high,none,0.8667292,0.021267617,0.073400185,0.03860298,none
A018197,R00,8749.42,high,none,0.8833963,0.0658679,0.025519928,0.025215875,none
A024259,R02,4916.05,low,none,0.95058626,0.0131622115,0.005491438,0.030760055,none
A011398,R08,1898.9,low,none,0.9111161,0.03631873,0.025219405,0.027345685,none
A034461,R02,2799.11,low,none,0.93451214,0.010853067,0.03140502,0.023229783,none
A004076,R09,1679.27,low,none,0.8798558,0.024867486,0.045959957,0.0493167,none
A019358,R07,6245.13,high,none,0.895905,0.011562547,0.018658334,0.073874064,none
A013627,R06,7747.09,high,none,0.8136539,0.020862127,0.058943655,0.10654031,none
A002071,R09,353.47,low,none,0.8773018,0.024542574,0.06686738,0.03128823,none
A009133,R09,2029.5,low,none,0.96031624,0.007875399,0.0061181164,0.025690302,none
A004149,R09,17906.2,high,none,0.82600576,0.0013773222,0.030661833,0.14195508,none
A007871,R02,2690.57,low,none,0.89480126,0.048027284,0.027542597,0.0296288,none
A032543,R06,7485.75,high,none,0.9328776,0.024835488,0.025175255,0.01711164,none
A001250,R08,1571.6,low,none,0.92496914,0.021739202,0.032135833,0.021155799,none
A006066,R02,15060.38,high,none,0.9314256,0.017746901,0.029509412,0.021318052,none
A006973,R09,13990.57,high,none,0.85753757,0.0764051,0.038794525,0.027262792,none
A018259,R09,14234.4,high,none,0.9607929,0.018856764,0.0027424486,0.017607827,none
A000485,R06,4461.5,low,none,0.8555298,0.024018759,0.03463304,0.08581843,none
A018123,R00,4077.68,low,none,0.8935503,0.059489638,0.019957842,0.027002277,none
A010282,R01,3870.06,low,none,0.8482029,0.034706928,0.085136026,0.031954125,none
A013125,R05,5114.25,high,none,0.6054606,0.0010964917,0.043622628,0.34982032,none
A018129,R08,8848.31,high,large_withdrawal,0.70297533,0.0068073124,0.0032166098,0.28700075,none
A004711,R00,1385.2,low,none,0.9124906,0.0016755929,0.008745489,0.07708838,none
A038655,R00,2053.55,low,dd_stop,0.82516056,0.020556184,0.05566021,0.098623045,none
A028937,R05,5600.46,high,none,0.8054241,0.089874715,0.039995395,0.06470576,none
A016310,R09,9996.17,high,none,0.86587185,0.042431366,0.06995641,0.021740431,none
A006228,R00,9263.66,high,none,0.88107115,0.05352507,0.035603516,0.02980022,none
A023256,R08,27319.23,high,dormant,0.9009341,0.007511006,0.02523966,0.066315204,none
A018068,R04,12240.86,high,none,0.89602417,0.050386246,0.0075720525,0.04601752,none
A035999,R04,2854.03,low,none,0.8774954,0.062863834,0.03581208,0.023828607,none
A004286,R05,1406.03,low,none,0.88319814,0.032534305,0.060585015,0.023682566,none
A019914,R09,14252.5,high,none,0.86546934,0.022195749,0.083127014,0.02920796,none
A010697,R08,419.21,low,none,0.8889164,0.008336421,0.016276972,0.08647018,none
A016414,R02,5288.06,high,none,0.9508123,0.025736015,0.005628704,0.017823026,none
A038078,R08,45117.74,high,none,0.88976175,0.014475973,0.022221262,0.07354096,none
A039323,R05,9914.91,high,none,0.95605934,0.017885117,0.0041578915,0.02189763,none
A015185,R01,12923.82,high,none,0.9036896,0.012992773,0.0048646666,0.07845296,none
A031969,R04,5756.43,high,none,0.9558736,0.012731428,0.0071795164,0.024215437,none
A027817,R00,27216.6,high,none,0.85890025,0.013868624,0.039356142,0.08787497,none
A008265,R06,21521.16,high,none,0.8194147,0.026552511,0.008279288,0.1457535,none
A005798,R00,1917.7,low,none,0.956048,0.018523555,0.0032129714,0.022215493,none
A012203,R06,4042.44,low,none,0.96082914,0.0056582186,0.012749188,0.02076343,none
A027006,R06,9188.1,high,none,0.9290076,0.044962876,0.011618521,0.014411039,none
A007525,R01,2386.55,low,none,0.8221433,0.021306215,0.040690012,0.11586048,none
A023295,R04,27302.08,high,none,0.9116561,0.04049289,0.025892157,0.021958897,none
A028242,R08,5131.2,high,none,0.70139736,0.009956714,0.055135142,0.23351076,none
A015697,R01,2085.44,low,none,0.825143,0.013456433,0.06338977,0.09801083,none
A039089,R02,24240.42,high,none,0.8824325,0.032560375,0.045538332,0.03946879,none
A014434,R08,4784.29,low,none,0.8809663,0.06990932,0.03206443,0.017059889,none
A024688,R02,2650.21,low,none,0.9512137,0.009574014,0.013325361,0.02588694,none
A017796,R03,40164.1,high,large_withdrawal,0.9349468,0.021350434,0.010940083,0.03276269,none
A017760,R06,1085.65,low,none,0.83423835,0.066885374,0.06788681,0.030989425,none
A020337,R02,2301.88,low,none,0.8455664,0.034546778,0.09113733,0.02874953,none
A017438,R04,15293.38,high,none,0.90315235,0.007106947,0.060476612,0.029264139,none
A001015,R07,934.17,low,none,0.95967275,0.016425785,0.0061448286,0.017756682,none
A013873,R02,15883.96,high,none,0.9219548,0.0327424,0.031527236,0.013775551,none
A032195,R03,8636.44,high,none,0.93302214,0.05236513,0.0038484153,0.010764267,none
A025297,R08,3817.0,low,none,0.8938859,0.019212766,0.008397253,0.078504056,none
A002967,R08,8238.43,high,none,0.95832664,0.009113353,0.011746445,0.020813556,none
A002824,R05,5395.59,high,none,0.8159141,0.032319505,0.07006191,0.08170445,none
A026680,R09,2409.68,low,none,0.9085621,0.05034449,0.0067801997,0.034313194,none
A000330,R04,2979.51,low,none,0.7711819,0.001527798,0.08997137,0.13731895,none
A001841,R05,6939.44,high,none,0.9408653,0.022985948,0.016083132,0.020065695,none
A002269,R04,5470.25,high,none,0.9320979,0.020945018,0.014649519,0.032307547,none
A020548,R02,1297.55,low,none,0.89628595,0.024950823,0.035066403,0.043696884,none
A027444,R04,9539.03,high,none,0.94459945,0.011607076,0.02224341,0.021550065,none
A037201,R07,1632.95,low,none,0.9430796,0.023450807,0.014540545,0.018929021,none
A030763,R07,5225.72,high,none,0.9240454,0.04792728,0.008278453,0.019748868,none
A013018,R06,5234.42,high,dd_stop,0.9187418,0.021286266,0.024633674,0.035338223,none
A012059,R01,3907.94,low,dormant,0.84776497,0.027952962,0.029856477,0.09442559,none
A000362,R09,3250.02,low,dormant,0.93467075,0.041445613,0.0067802365,0.017103424,none
A009643,R04,1039.79,low,none,0.86219746,0.010412094,0.06612923,0.06126124,none
A007355,R09,1434.01,low,none,0.9455864,0.011278109,0.019924251,0.02321124,none
A017231,R09,9892.53,high,large_withdrawal,0.9176892,0.024327558,0.035232004,0.022751255,none
A007457,R04,7036.99,high,dormant,0.6176379,0.038989015,0.039818194,0.30355492,none
A033104,R09,4324.81,low,none,0.62034905,0.030441303,0.007200293,0.34200937,none
A039857,R01,6174.62,high,none,0.8713783,0.062903725,0.045598343,0.020119669,none
A010822,R05,1928.47,low,none,0.86045927,0.036523867,0.0065728584,0.096444,none
A024323,R07,7129.63,high,none,0.94480586,0.019412762,0.014258599,0.021522801,none
A015379,R06,4931.06,low,none,0.8868567,0.018486138,0.03274149,0.061915644,none
A039955,R00,10282.76,high,none,0.9527792,0.030165913,0.0033661688,0.01368879,none
A018805,R03,12302.43,high,none,0.95429075,0.0052946527,0.015223584,0.025190992,none
A017872,R02,7930.43,high,none,0.94205165,0.0009497816,0.019787906,0.037210632,none
A039095,R00,11538.39,high,none,0.923534,0.015682964,0.029628497,0.031154532,none
A016143,R01,60093.32,high,none,0.8655626,0.057657212,0.05837623,0.018403925,none
A033136,R05,907.97,low,none,0.8569338,0.040584307,0.04305204,0.05942983,none
A031833,R09,3349.62,low,none,0.81788486,0.033047017,0.043127954,0.10594017,none
A016021,R03,6679.42,high,none,0.95765525,0.018080236,0.0036402815,0.02062419,none
A027126,R04,3043.63,low,none,0.9557453,0.015433192,0.005701135,0.02312032,none
A003879,R06,8164.82,high,none,0.8480402,0.07227705,0.05903322,0.020649496,none
A037895,R02,3670.7,low,dd_stop,0.8245346,0.061495624,0.08790729,0.026062526,none
A033878,R06,13155.35,high,none,0.9238772,0.02402483,0.027806683,0.024291335,none
A017239,R01,21802.46,high,none,0.9253898,0.025486631,0.028959915,0.020163637,none
A025836,R09,1678.37,low,none,0.9161525,0.009154764,0.042546857,0.03214591,none
A023409,R00,4787.43,low,none,0.90058964,0.0009348218,0.008464522,0.090010986,none
A007049,R00,619.54,low,none,0.950798,0.024368191,0.006805767,0.018028066,none
A003607,R07,3897.86,low,none,0.900866,0.038279902,0.028656194,0.032197956,none
A021995,R04,929.66,low,none,0.93291754,0.0330133,0.0072156377,0.0268535,none
A035139,R05,5885.01,high,none,0.9287995,0.018227262,0.008497197,0.044475973,none
A001277,R07,2331.12,low,none,0.96119136,0.0075475066,0.00793082,0.023330351,none
A033672,R05,10032.93,high,none,0.962955,0.0010844639,0.011743785,0.024216741,none
A014409,R03,1761.7,low,none,0.95543766,0.0154414745,0.0074301483,0.02169074,none
A020789,R08,3994.13,low,none,0.82345974,0.027772889,0.012923286,0.13584414,none
A015607,R08,1291.15,low,none,0.9604782,0.004716226,0.012609748,0.022195898,none
A004984,R06,221.12,low,dormant,0.87125003,0.037477873,0.059001166,0.0322709,none
A038150,R06,3668.12,low,none,0.90178657,0.034259144,0.036814675,0.027139654,none
A011479,R08,1741.1,low,none,0.91054463,0.009129113,0.051054254,0.029272066,none
A016484,R06,14500.3,high,large_withdrawal,0.87471676,0.07173183,0.035015587,0.018535845,none
A012841,R06,2512.28,low,none,0.8844691,0.018798534,0.06436658,0.032365832,none
A026935,R08,4286.51,low,none,0.80362004,0.0934613,0.07479967,0.028118946,none
A032761,R07,1001.34,low,none,0.8621404,0.057945404,0.05325511,0.026659094,none
A007629,R03,46922.36,high,none,0.89729863,0.024076141,0.05790871,0.020716486,none
A003590,R05,669.0,low,none,0.9015964,0.049695104,0.02394468,0.024763865,none
A027643,R01,3488.13,low,none,0.7270295,0.007460623,0.04129135,0.22421855,none
A019731,R08,3292.13,low,none,0.6772049,0.018195165,0.04073163,0.2638683,none
A031250,R00,2634.84,low,none,0.87977076,0.029605625,0.010405802,0.080217846,none
A037465,R08,1372.8,low,none,0.93019086,0.022656187,0.02567485,0.021478081,none
A026356,R04,3569.97,low,none,0.94038546,0.012678924,0.02129028,0.025645273,none
A006220,R01,5701.89,high,none,0.84502447,0.07444227,0.05932491,0.021208316,none
A031170,R01,1942.24,low,none,0.95123464,0.0034735647,0.018342407,0.026949415,none
A007792,R06,7104.23,high,none,0.8905084,0.00080987846,0.080199815,0.028481854,none
A033475,R03,1101.95,low,dormant,0.9461873,0.016856756,0.010310782,0.02664514,none
A033716,R06,24690.67,high,none,0.88076466,0.01018884,0.022915568,0.08613093,none
A021314,R08,3261.71,low,none,0.8613402,0.017976096,0.003422135,0.117261514,none
A035880,R08,10757.04,high,none,0.85626376,0.0011557784,0.09416333,0.04841714,none
A000811,R06,2027.22,low,dormant,0.64049244,0.028864615,0.017849557,0.3127934,none
A038122,R04,4140.23,low,none,0.5973909,0.014245159,0.039064143,0.34929976,none
A033589,R04,3901.83,low,none,0.9512772,0.01866261,0.00531771,0.02474247,none
A038092,R01,1812.53,low,none,0.8415409,0.052430674,0.07147403,0.03455449,none
A009331,R02,7852.42,high,none,0.9275599,0.009024135,0.023583997,0.039831944,none
A006426,R02,11342.18,high,none,0.9239593,0.041375138,0.011914917,0.022750605,none
A029252,R03,3028.8,low,none,0.86747766,0.02376639,0.07941869,0.029337296,none
A019934,R00,714.77,low,large_withdrawal,0.89543796,0.07629723,0.018029353,0.010235423,none
A032770,R03,23600.15,high,none,0.94156206,0.006452342,0.03886413,0.01312148,none
A039459,R05,13824.34,high,none,0.91985613,0.053977773,0.0048392643,0.021326814,none
A004509,R08,758.07,low,none,0.92852473,0.0009606299,0.020441623,0.050073,none
A001218,R08,2572.41,low,none,0.91706437,0.038081415,0.023980843,0.020873362,none
A015272,R06,1546.86,low,none,0.95243126,0.015180581,0.004375265,0.028012926,none
A013305,R09,17067.94,high,none,0.92655545,0.03775389,0.01856462,0.017126014,none
A008781,R00,23013.08,high,none,0.9247184,0.011425692,0.01563135,0.048224602,none
A011956,R08,2324.41,low,none,0.8722255,0.033865757,0.06309005,0.030818624,none
A013883,R06,14361.1,high,none,0.90962124,0.0142210275,0.004581555,0.07157613,none
A037731,R03,1744.13,low,dd_stop,0.8790336,0.008946219,0.023123536,0.08889669,none
A007800,R09,9733.34,high,none,0.87649137,0.056917176,0.04271869,0.023872755,none
A023848,R02,1292.5,low,none,0.7690949,0.048689414,0.044239827,0.1379759,none
A025526,R07,4566.85,low,none,0.8675105,0.007011131,0.057258517,0.0682198,none
A012177,R05,16258.85,high,none,0.90898156,0.012132341,0.0031168235,0.07576928,none
A032611,R09,1979.36,low,none,0.96019727,0.015802776,0.0049295,0.01907045,none
A039659,R02,943.06,low,none,0.87610674,0.024411732,0.041398484,0.058083028,none
A033417,R09,9732.5,high,none,0.8567456,0.014777649,0.10435887,0.024117846,none
A013904,R09,2414.54,low,none,0.81986076,0.060488712,0.019264689,0.10038584,none
A002707,R01,3252.95,low,dormant,0.89577204,0.013449997,0.062203187,0.028574778,none
A023817,R06,5200.04,high,none,0.9569581,0.021570135,0.003106865,0.018364897,none
A029672,R08,645.46,low,none,0.9389525,0.00861179,0.029720102,0.022715593,none
A036816,R09,1036.44,low,none,0.89791775,0.016400836,0.005205985,0.08047539,none
A032698,R09,2971.35,low,none,0.81257224,0.00789302,0.0697082,0.10982661,none
A005650,R00,2129.15,low,none,0.92143965,0.018551955,0.03313579,0.02687258,none
A015052,R08,5563.74,high,none,0.8884938,0.008407943,0.07997203,0.023126232,none
A007083,R05,5972.71,high,none,0.9096374,0.033570413,0.03524168,0.021550493,none
A011797,R09,5747.14,high,none,0.92713714,0.02208929,0.026644016,0.024129579,none
A005772,R01,11649.32,high,none,0.9690148,0.0009016848,0.0047675357,0.025316022,none
A015770,R05,2835.83,low,none,0.9131796,0.04155231,0.024229886,0.021038251,none
A014285,R05,3915.46,low,none,0.9501705,0.025834322,0.0056572696,0.01833783,none
A033812,R07,6239.1,high,dd_stop,0.84409213,0.019295363,0.041927777,0.09468471,none
A005832,R09,2807.7,low,none,0.905298,0.0009119303,0.020603139,0.07318696,none
A014980,R04,10438.38,high,none,0.8995809,0.04597168,0.032523546,0.021923868,none
A025414,R08,5700.25,high,none,0.9284643,0.052009866,0.004508489,0.0150174,none
A021922,R02,2141.92,low,none,0.834888,0.048137013,0.06347478,0.053500183,none
A016851,R07,4958.19,low,none,0.9668197,0.0047541014,0.008939096,0.019487139,none
A014556,R02,129.11,low,none,0.8658008,0.043345653,0.043175872,0.04767771,none
A033902,R02,3056.62,low,none,0.94115967,0.025026074,0.003875828,0.029938364,none
A002206,R09,11969.27,high,none,0.8755598,0.017818969,0.006507793,0.10011348,none
A026796,R07,20099.55,high,none,0.9037751,0.016642034,0.0027507935,0.076832086,none
A028766,R01,13838.5,high,none,0.9401652,0.028767914,0.005934548,0.02513233,none
A004141,R09,4649.99,low,none,0.7004295,0.013666911,0.024269547,0.26163405,none
A022415,R06,735.89,low,none,0.79283947,0.09374939,0.08157811,0.031832978,none
A025861,R06,13175.95,high,dd_stop,0.9302016,0.02438837,0.008189853,0.037220214,none
A028238,R06,2600.63,low,none,0.9342225,0.013568339,0.028679818,0.023529371,none
A028300,R09,6101.45,high,large_withdrawal,0.9422839,0.028924033,0.0051847687,0.023607278,none
A038210,R04,6638.83,high,none,0.90516263,0.014837056,0.050841074,0.029159253,none
A028931,R06,2371.62,low,none,0.89824706,0.02143485,0.01157937,0.068738766,none
A030660,R01,2685.47,low,none,0.87017393,0.025007837,0.066578366,0.038239866,none
A008173,R07,2598.87,low,none,0.8609043,0.03618115,0.05530465,0.047609903,none
A023799,R07,21322.17,high,none,0.84329647,0.019307591,0.10932523,0.028070768,none
A023051,R03,8704.39,high,none,0.95861083,0.0016424909,0.015435565,0.024311094,none
A003484,R05,19138.52,high,none,0.92510784,0.03536555,0.014697872,0.024828704,none
A014878,R03,1555.33,low,none,0.9208989,0.019205466,0.02820062,0.03169502,none
A017249,R07,2327.58,low,none,0.74100024,0.09786998,0.061649106,0.09948065,none
A002742,R00,4534.18,low,none,0.9144997,0.012929196,0.04466973,0.027901385,none
A001462,R04,380.96,low,none,0.9197772,0.021738322,0.030860027,0.027624449,none
A003016,R06,679.3,low,none,0.8553132,0.020371955,0.04209524,0.082219645,none
A026444,R08,6718.95,high,large_withdrawal,0.81912905,0.037884515,0.04850266,0.094483785,none
A017214,R07,2514.39,low,none,0.9185913,0.019238567,0.028872125,0.033298016,none
A011625,R09,7096.82,high,none,0.95931095,0.009097839,0.0062825307,0.025308684,none
A015570,R04,7753.5,high,none,0.920119,0.010506144,0.033000115,0.03637479,none
A035444,R01,4064.56,low,none,0.9047778,0.04778611,0.026740948,0.02069511,none
A028488,R03,4718.37,low,none,0.9385501,0.0019810915,0.01804779,0.04142098,none
A004281,R06,1857.88,low,none,0.94937885,0.012734381,0.015671594,0.022215232,none
A022959,R01,1735.86,low,none,0.9612573,0.0012988215,0.014206177,0.023237638,none
A002608,R08,102.62,low,none,0.8833115,0.0006522917,0.0061445,0.10989165,none
A009495,R04,3188.87,low,none,0.9059329,0.031030906,0.008842459,0.05419374,none
A018852,R01,22893.49,high,none,0.9287229,0.014405991,0.0036979194,0.05317321,none
A022249,R07,11431.19,high,none,0.9701274,0.00091863336,0.007644449,0.021309584,none
A025643,R09,7401.18,high,none,0.9418423,0.018384766,0.020055637,0.019717272,none
A029062,R05,11417.38,high,none,0.72818893,0.004904613,0.03400506,0.23290142,none
A027217,R09,3749.12,low,none,0.9235841,0.010750743,0.03917758,0.0264875,none
A033116,R06,3587.0,low,none,0.93064296,0.018566914,0.023278408,0.027511748,none
A013120,R05,19147.74,high,dormant,0.8668156,0.017462369,0.08904664,0.02667534,none
A027034,R09,2981.05,low,none,0.93890005,0.03988491,0.010683929,0.010531098,none
A007733,R05,4723.88,low,none,0.88096106,0.054943956,0.043172855,0.020922154,none
A013179,R03,24253.83,high,none,0.91174823,0.0076060463,0.040568985,0.040076714,none
A033538,R01,11857.86,high,none,0.92408794,0.00074245996,0.003745957,0.07142361,none
A036987,R03,6456.46,high,none,0.8473662,0.05125989,0.0155868465,0.08578706,none
A020365,R00,33295.2,high,none,0.85255384,0.01702969,0.07463869,0.05577775,none
A003093,R03,3339.27,low,dormant,0.9187077,0.026587136,0.0171939,0.03751127,none
A035533,R05,5881.54,high,none,0.89495045,0.030555282,0.032545898,0.041948292,none
A031916,R09,1308.38,low,none,0.8233971,0.009563258,0.060346775,0.1066929,none
A024503,R02,994.32,low,none,0.7847146,0.11561078,0.07148474,0.028189963,none
A030777,R06,4391.94,low,none,0.93786365,0.00686281,0.03122169,0.02405188,none
A036043,R09,13614.39,high,none,0.83334076,0.1044384,0.037543587,0.02467725,none
A029667,R05,922.83,low,none,0.90422624,0.053715494,0.030124707,0.011933527,none
A010528,R04,986.22,low,none,0.8701058,0.01936473,0.03375076,0.07677877,none
A023576,R04,3286.78,low,none,0.94433975,0.001112434,0.02088294,0.03366485,none
A032415,R02,13392.58,high,none,0.90062165,0.051831927,0.030729175,0.016817244,none
A007480,R07,3715.78,low,none,0.9478515,0.019271532,0.005660592,0.027216349,none
A002480,R09,1306.35,low,none,0.8727119,0.0057662763,0.019940019,0.10158182,none
